Documents,Title and Description
DO_123_S2001.pdf,Revised Rules and Regulations Governing Limited Access Highway
FDM-Vol.-1-2nd-Edition.pdf,"Filipino Driver's Manual Volume 1 (2nd Edition) - Comprehensive guide covering traffic rules, road signs, and safe driving practices"
FDM-vol.-2-2nd-Edition.pdf,"Filipino Driver's Manual Volume 2 (2nd Edition) - Relevant Vehicle Regulations, LTO Related Laws, Fines and Penalties for Violations of Laws, Rules and Regulations Governing Land Transportation"
IRR of REPUBLIC ACT NO. 10586.pdf,"IMPLEMENTING RULES AND REGULATIONS of Republic Act No. 10586 Anti-Drunk and Drugged Driving Act of 2013 - Detailed implementation of rules, regulations proposed in Republic Act No. 10586"
IRR of REPUBLIC ACT NO. 10666.pdf,"IMPLEMENTING RULES AND REGULATIONS of Republic Act No. 10666 Children's
Safety on Motorcycles Act of 2015 -  Detailed implementation of rules, regulations proposed in Republic Act No. 10666"
IRR of REPUBLIC ACT NO. 10913.pdf,"IMPLEMENTING RULES AND REGULATIONS of Republic Act No. 10913 Anti-Distracted Driving Act -  Detailed implementation of rules, regulations proposed in Republic Act No. 10913"
IRR of Republic Act No. 10930.pdf,IMPLEMENTING RULES AND REGULATIONS of Republic Act No. 10930 Amendments for  RA 4136
IRR of REPUBLIC ACT NO. 11697.pdf,"IMPLEMENTING RULES AND REGULATIONS of Republic Act No. 11697 Electric Vehicle Industry Act - Detailed implementation of rules, regulations proposed in Republic Act No. 11697"
LTO ADMINISTRATIVE ORDER NO. AHS-2008-015.pdf,"RULES AND REGULATIONS FOR THE USE AND OPERATION
OF MOTORCYCLES ON HIGHWAYS"
P.D. No. 96.pdf,
REPUBLIC ACT NO. 10054.pdf,
REPUBLIC ACT NO. 10586.pdf,
REPUBLIC ACT No. 10666.pdf,
REPUBLIC ACT NO. 10913.pdf,
REPUBLIC ACT NO. 10916.pdf,
Republic Act No. 10930.pdf,
REPUBLIC ACT NO. 11229.pdf,
REPUBLIC ACT NO. 11235.pdf,
REPUBLIC ACT NO. 11697.pdf,
REPUBLIC ACT NO. 12209.pdf,
REPUBLIC ACT NO. 4136.pdf,"Land Transportation and Traffic Code - Foundation of Philippine traffic law; covers driver licensing, vehicle registration, traffic rules, violations, and penalties"
REPUBLIC ACT NO. 8506.pdf,
REPUBLIC ACT NO. 8749.pdf,
REPUBLIC ACT NO. 8750.pdf,
REPUBLIC ACT NO. 8794.pdf,
